date;stationID;interpret;title
12/22/2023 08:20:14 AM;wdr2;ASDIS;Angel eyes
12/22/2023 08:20:14 AM;dashitradio;Bryan Adams;Christmas Time
12/22/2023 08:20:14 AM;bigfm;KENYA GRACE;*NEU* STRANGERS
12/22/2023 08:20:14 AM;bayern1main;Steve Winwood;Higher Love
12/22/2023 08:20:14 AM;1live;OneRepublic;Runaway
12/22/2023 08:20:44 AM;1live;Post Malone;Chemical
12/22/2023 08:20:44 AM;wdr2;Robbie Williams;Come undone
12/22/2023 08:21:14 AM;1live;Seeed;Aufstehn
12/22/2023 08:21:29 AM;bayern1main;Bob Seger & The Silver Bullet Band;Little Drummer Boy
12/22/2023 08:22:29 AM;bayern1main;Nick Straker Band;A Walk In The Park
12/22/2023 08:23:30 AM;1live;Bon Jovi;It's My Life
12/22/2023 08:25:04 AM;wdr2;Nico Santos;Safe
12/22/2023 09:45:28 AM;wdr2;Ava Max;Kings & Queens
12/22/2023 09:45:28 AM;dashitradio;Alvaro Soler;Muero
12/22/2023 09:45:28 AM;bigfm;ROBIN SCHULZ & RITA ORA & TIAGO PZK;*NEU* I'LL BE THERE
12/22/2023 09:45:28 AM;bayern1main;Elton John;Your Song
12/22/2023 09:45:28 AM;1live;Loi;Snowman
12/22/2023 09:45:58 AM;dashitradio;Robbie Williams;Can't Stop Christmas
12/22/2023 09:46:28 AM;wdr2;WDR 2 Der Vormittag mit Johannes Simon;
12/22/2023 09:49:40 AM;bayern1main;Talking Heads;Road To Nowhere
12/22/2023 09:49:40 AM;1live;Nico Santos x FAST BOY;Where you are
12/22/2023 09:49:40 AM;wdr2;Twocolors x Safri Duo x Chris de Sarandy;Cynical
12/22/2023 09:49:40 AM;dashitradio;Jaymes Young;Infinity
12/22/2023 09:50:10 AM;1live;Imagine Dragons;Radioactive
12/22/2023 09:52:24 AM;wdr2;Queen;I want to break free
12/22/2023 09:52:24 AM;bigfm;KENYA GRACE;*NEU* STRANGERS
12/22/2023 09:52:24 AM;bayern1main;The Weeknd;Blinding Lights
12/22/2023 09:52:40 AM;dashitradio;Lukas Graham;Love Someone
12/22/2023 09:52:40 AM;1live;Camila Cabello & Young Thug;Havana
12/22/2023 09:53:10 AM;bigfm;MEDUZA & DERMOT KENNEDY;PARADISE
12/22/2023 09:56:03 AM;wdr2;Freya Ridings;Castles
12/22/2023 09:56:03 AM;bayern1main;Melanie Thornton;Wonderful Dream
12/22/2023 09:59:05 AM;1live;Passenger;Let Her Go
12/22/2023 10:00:39 AM;dashitradio;Pink;Runaway
12/22/2023 10:01:09 AM;bayern1main;    Atemwegserkrankungen in Bayern breiten sich aus ;
12/22/2023 10:03:10 AM;dashitradio;Ellie Goulding;Love Me Like You Do
12/22/2023 10:03:40 AM;bigfm;NICO SANTOS & CLOCKCLOCK;CHANGES
12/22/2023 10:08:00 AM;dashitradio;Band Aid;Do They Know It's Christmas?
12/22/2023 10:08:00 AM;bayern1main;George Michael;Careless Whisper
12/22/2023 10:08:00 AM;1live;Lykke Li;I Follow Rivers (The Magician Remix)
12/22/2023 10:08:00 AM;wdr2;David Guetta & Anne-Marie & Coi Leray;Baby Don't Hurt Me
12/22/2023 10:08:15 AM;1live;Sophie And The Giants & Purple Disco Machine;Paradise
12/22/2023 10:11:20 AM;wdr2;Mark Forster;Übermorgen
12/22/2023 10:11:20 AM;bayern1main;Edwyn Collins;A Girl Like You
12/22/2023 10:15:05 AM;wdr2;Vonda Shepard;This Christmas
12/22/2023 10:15:05 AM;dashitradio;Rihanna;Diamonds
12/22/2023 10:15:05 AM;bayern1main;After The Fire;1980 F
12/22/2023 10:15:05 AM;1live;Audrey Hannah;It's December (And I'll Be Missing You)
12/22/2023 10:15:35 AM;1live;Tove Lo feat. Hippie Sabotage;Habits (Stay High) (Habits Remix)
12/24/2023 02:08:19 PM;wdr2;Taylor Swift;Anti-Hero
12/24/2023 02:08:19 PM;dashitradio;Shakin' Stevens;Merry Christmas Everyone
12/24/2023 02:08:19 PM;bayern1main;    Hochwasserlage in Bayern spitzt sich zu ;
12/24/2023 02:08:19 PM;1live;Paul McCartney;Wonderful Christmas Time
12/24/2023 02:10:19 PM;wdr2;Dean Martin;Let it snow, let it snow, let it snow
12/24/2023 02:10:35 PM;bayern1main;Diana Ross;It's The Most Wonderful Time Of The Year - Live in Wien
12/24/2023 02:11:28 PM;dashitradio;Michael Schulte;Better Me (R3hab)
12/24/2023 02:13:01 PM;1live;Melanie Thornton;Wonderful Dream (Holidays Are Coming)
12/24/2023 02:13:01 PM;wdr2;The BossHoss & The Common Linnets;Jolene
12/24/2023 02:13:01 PM;bayern1main;Thomanerchor Leipzig;Leise rieselt der Schnee
12/24/2023 02:13:16 PM;1live;01099 x Trettmann;In der Nacht
12/24/2023 02:14:17 PM;dashitradio;Katy Perry;Cozy Little Christmas
12/24/2023 02:17:18 PM;1live;Joel Corry & Tom Grennan;Lionheart (Fearless)
12/24/2023 02:17:18 PM;dashitradio;Clockclock;Over
12/24/2023 02:17:18 PM;bayern1main;Barbra Streisand;I'll Be Home For Christmas
12/24/2023 02:17:33 PM;wdr2;Michael Schulte;Waterfall
12/24/2023 02:20:04 PM;wdr2;Twocolors x Safri Duo x Chris de Sarandy;Cynical
12/24/2023 02:20:04 PM;dashitradio;Meghan Trainor;All About That Bass
12/24/2023 02:21:04 PM;1live;KAMRAD;I Hope You End Up Alone (With Me)
12/24/2023 02:24:33 PM;wdr2;The Pretenders;Have yourself a merry little Christmas
12/24/2023 02:24:33 PM;dashitradio;Charlie Puth;Attention
12/24/2023 02:24:33 PM;bayern1main;Chor des Bayerischen Rundfunks;In dulci jubilo
12/24/2023 02:24:33 PM;1live;Ellie Goulding;How Long Will I Love You
12/24/2023 02:25:39 PM;1live;Giant Rooks;Bedroom Exile
12/24/2023 02:27:26 PM;dashitradio;Elton John;Cold Heart ( & Dua Lipa)
12/24/2023 02:27:56 PM;1live;Eminem;Mockingbird
12/24/2023 02:28:11 PM;1live;Route 94 feat. Jess Glynne;My Love
12/24/2023 02:28:49 PM;wdr2;Sia;Gimme Love
12/24/2023 02:29:55 PM;bayern1main;Dresdner Kreuzchor & Roderich Kreile;Joseph, lieber Joseph
12/24/2023 02:30:25 PM;dashitradio;James Arthur;Blindside
12/24/2023 05:16:07 PM;dashitradio;Backstreet Boys;Christmas Time
12/24/2023 05:16:07 PM;bayern1main;Dionne Warwick;Have Yourself A Merry Little Christmas
12/24/2023 05:16:07 PM;1live;Coldplay;Fix You
12/24/2023 05:16:37 PM;bayern1main;Hermann Prey;Alle Jahre wieder
12/24/2023 05:17:07 PM;1live;Band Aid;Do They Know It's Christmas ?
12/24/2023 05:17:37 PM;wdr2;OneRepublic;Christmas without you
12/25/2023 10:27:19 PM;dashitradio;Band Aid;Do They Know It's Christmas?
12/25/2023 10:27:19 PM;bayern1main;Reamonn;Supergirl
12/25/2023 10:29:32 PM;bayern1main;Bing Crosby;White Christmas
12/25/2023 10:29:32 PM;dashitradio;Felix Jaehn;New Past Life ( & Jonas Blue)
12/25/2023 10:32:14 PM;bayern1main;Seal;Crazy
12/25/2023 10:32:14 PM;bigfm;SOUTHSTAR;MISS YOU
12/25/2023 10:32:45 PM;dashitradio;Michael Patrick Kelly;Beautiful Madness
12/25/2023 10:44:02 PM;1live;Trentemöller;Into The Silence feat. Di?SA
12/25/2023 10:44:02 PM;dashitradio;Pharrell Williams;Happy
12/25/2023 10:44:02 PM;bayern1main;Human League;Human
12/25/2023 10:44:33 PM;bayern1main;Ava Max;Christmas Without You
12/25/2023 10:46:18 PM;dashitradio;Nico Santos;Neu Where You Are ( & Fast Boy)
12/25/2023 10:46:48 PM;1live;Warpaint;Keep It Healthy
12/25/2023 10:48:07 PM;bayern1main;U2;With Or Without You
12/25/2023 10:49:07 PM;dashitradio;The Pogues feat. Kirsty Maccoll;Fairytale Of New York
12/25/2023 10:51:17 PM;1live;Bdrmm;Pulling Stitches
12/25/2023 10:53:54 PM;dashitradio;Alvaro Soler;Solo Para Ti
12/25/2023 10:53:54 PM;bayern1main;Zucchero & Randy Crawford;Diamante
12/25/2023 10:54:39 PM;1live;Masha Qrella;I Can't Tell
12/25/2023 11:00:17 PM;dashitradio;Kenya Grace;Strangers
12/25/2023 11:00:17 PM;bayern1main;Jona Lewie;Stop The Cavalry
12/25/2023 11:00:17 PM;bigfm;THE ROLLING STONES & PURPLE DISCO MACHINE;*NEU* MESS IT UP [PURPLE DISCO MACHINE REMIX]
12/25/2023 11:00:17 PM;1live;Four Tet;Glue of the World (instrumental)
12/25/2023 11:00:47 PM;bayern1main;    Steinmeier ruft zu Mut und Zusammenhalt auf;
12/25/2023 11:01:17 PM;dashitradio;Tate Mcrae;She's All I Wanna Be
12/27/2023 07:45:18 PM;bayern1main;Billy Joel;The Longest Time
12/27/2023 07:45:18 PM;bremennext;Kevin;Dj Show Punchline
12/27/2023 07:45:18 PM;1live;Empire Of The Sun x southstar;We Are The People (southstar Remix)
12/27/2023 07:45:18 PM;dashitradio;Kygo feat. Conrad;Firestone
12/27/2023 07:46:03 PM;bayern1main;Mick Jagger;Lucky In Love
12/27/2023 07:47:48 PM;dashitradio;Taylor Swift;Cruel Summer
12/27/2023 07:48:34 PM;1live;Flavio;Liebe & SIM Karten
12/27/2023 07:50:19 PM;1live;YellowStraps;Slowdown (Girl What's Up)
12/27/2023 07:50:49 PM;bayern1main;Double;The Captain Of Her Heart
12/27/2023 07:50:49 PM;dashitradio;Depeche Mode;Enjoy The Silence
12/27/2023 07:53:05 PM;1live;Olivia Rodrigo;Deja Vu
12/27/2023 07:53:50 PM;bayern1main;Cyndi Lauper;She Bop
12/27/2023 07:54:51 PM;dashitradio;Loi;New Am I Enough
12/27/2023 07:55:21 PM;1live;The Blessed Madonna feat. The Joy;Shades Of Love
12/27/2023 07:57:37 PM;bayern1main;Jason Donovan;Every Day
12/27/2023 07:57:52 PM;dashitradio;Avicii feat. Aloe Blacc;Wake Me Up
12/27/2023 07:58:37 PM;1live;ENNIO;Utopie
12/27/2023 08:01:38 PM;dashitradio;T.a.t.u.;All The Things She Said
12/27/2023 08:02:23 PM;bayern1main;    New York Times setzt sich gegen KI-Einsatz ihrer Artikel zur Wehr ;
12/27/2023 08:03:24 PM;bayern1main;    Das Wetter;In der Nacht vereinzelt Regen 
12/27/2023 08:05:09 PM;1live;Barry Can't Swim;Dance of the Crab
12/27/2023 08:05:24 PM;dashitradio;Glockenbach;Lifeline (X Ella Henderson)
12/27/2023 08:05:24 PM;bayern1main;Midnight Star;Operator
12/27/2023 08:07:55 PM;1live;Tkay Maidza feat. Lolo Zouai & Amber Mark;Out of Luck
12/27/2023 08:08:10 PM;dashitradio;Passenger;Let Her Go
12/27/2023 08:09:11 PM;bayern1main;Glenn Frey;You Belong To The City
12/27/2023 08:12:12 PM;dashitradio;Toby Romeo & Leony;Crazy Love
12/27/2023 08:12:57 PM;bayern1main;Alphaville;Big In Japan
12/27/2023 08:13:27 PM;1live;JEREMIAS;Verrückt
12/27/2023 08:15:13 PM;dashitradio;Toto;Africa
12/27/2023 08:16:13 PM;1live;The Chemical Brothers;Galvanize
12/27/2023 08:17:59 PM;bayern1main;Ixi;Der Knutschfleck
12/27/2023 09:30:35 PM;1live;Billie Eilish;What Was I Made For?
12/27/2023 09:30:35 PM;dashitradio;Robbie Williams;She's The One
12/27/2023 09:30:35 PM;bayern1main;Rainhard Fendrich;Weus'd a Herz hast wia a Bergwerk
12/27/2023 09:31:21 PM;1live;Miley Cyrus;Flowers
12/27/2023 09:31:36 PM;bayern1main;Blues Brothers;Everybody Needs Somebody To Love
12/27/2023 09:34:22 PM;dashitradio;Purple Disco Machine;In The Dark (feat. Sophie & The Giants)
12/27/2023 09:34:37 PM;bayern1main;Bonnie Bianco;Miss You So
12/27/2023 09:37:23 PM;dashitradio;Adele;Set Fire To The Rain
12/27/2023 09:48:55 PM;1live;Giant Rooks;Somebody Like You
12/27/2023 09:48:55 PM;dashitradio;David Guetta;Baby Don't Hurt Me ( & Anne-marie & Coi Leray)
12/27/2023 09:48:55 PM;bayern1main;Club Nouveau;Lean On Me
12/27/2023 09:49:10 PM;dashitradio;Sido;Astronaut (feat. Andreas Bourani)
12/27/2023 09:58:37 PM;1live;All Diese Gewalt;Alles ist nur Übergang
12/27/2023 09:58:37 PM;dashitradio;Pat Benatar;Love Is A Battlefield
