date;stationName;typeflag
01/17/2024 05:23:33;Radio RST;start_of_ad
01/17/2024 05:26:01;Radio RST;end_of_ad_artificial
01/17/2024 05:57:40;BAYERN 1;start_of_ad
01/17/2024 06:24:59;BremenNext;end_of_ad
01/17/2024 06:26:09;Antenne AC;start_of_ad
01/17/2024 06:26:37;BremenNext;start_of_ad
01/17/2024 06:27:39;WDR 2;start_of_ad
01/17/2024 06:29:03;Antenne AC;end_of_ad_artificial
01/17/2024 06:30:03;WDR 2;end_of_ad_artificial
01/17/2024 06:51:40;BremenNext;end_of_ad
01/17/2024 06:51:44;BremenNext;start_of_ad
01/17/2024 06:53:21;Radio RST;start_of_ad
01/17/2024 06:53:33;Antenne AC;start_of_ad
01/17/2024 06:56:01;Antenne AC;end_of_ad_artificial
01/17/2024 06:56:02;Radio RST;end_of_ad_artificial
01/17/2024 06:57:59;WDR 2;start_of_ad
01/17/2024 07:21:11;100,5;start_of_ad
01/17/2024 07:24:02;100,5;end_of_ad_artificial
01/17/2024 07:26:01;Radio RST;start_of_ad
01/17/2024 07:26:18;Antenne AC;start_of_ad
01/17/2024 07:29:00;Radio RST;end_of_ad_artificial
01/17/2024 07:29:03;Antenne AC;end_of_ad_artificial
01/17/2024 07:50:30;100,5;start_of_ad
01/17/2024 07:53:02;100,5;end_of_ad_artificial
01/17/2024 07:54:05;Radio RST;start_of_ad
01/17/2024 07:54:12;BremenNext;end_of_ad
01/17/2024 07:54:38;Antenne AC;start_of_ad
01/17/2024 07:55:09;1Live;end_of_ad
01/17/2024 07:57:02;Antenne AC;end_of_ad_artificial
01/17/2024 07:57:04;Radio RST;end_of_ad_artificial
01/17/2024 08:25:16;Antenne AC;start_of_ad
01/17/2024 08:25:57;BremenNext;start_of_ad
01/17/2024 08:26:23;Radio RST;start_of_ad
01/17/2024 08:28:01;Antenne AC;end_of_ad_artificial
01/17/2024 08:29:00;Radio RST;end_of_ad_artificial
01/17/2024 08:53:21;BremenNext;end_of_ad
01/17/2024 08:53:22;Antenne AC;start_of_ad
01/17/2024 08:53:32;Radio RST;start_of_ad
01/17/2024 08:54:59;1Live;start_of_ad
01/17/2024 08:56:00;Radio RST;end_of_ad_artificial
01/17/2024 08:56:03;Antenne AC;end_of_ad_artificial
